,high_mean
2023-06-24-00:00,434
2023-06-24-00:15,432
2023-06-24-00:30,432
2023-06-24-00:45,418
2023-06-24-01:00,416
2023-06-24-01:15,416
2023-06-24-01:30,415
2023-06-24-01:45,415
2023-06-24-02:00,406
2023-06-24-02:15,406
2023-06-24-02:30,406
2023-06-24-02:45,406
2023-06-24-03:00,419
2023-06-24-03:15,419
2023-06-24-03:30,419
2023-06-24-03:45,419
2023-06-24-04:00,406
2023-06-24-04:15,402
2023-06-24-04:30,402
2023-06-24-04:45,402
2023-06-24-05:00,404
2023-06-24-05:15,404
2023-06-24-05:30,404
2023-06-24-05:45,406
2023-06-24-06:00,412
2023-06-24-06:15,414
2023-06-24-06:30,417
2023-06-24-06:45,419
2023-06-24-07:00,407
2023-06-24-07:15,408
2023-06-24-07:30,420
2023-06-24-07:45,435
2023-06-24-08:00,460
2023-06-24-08:15,468
2023-06-24-08:30,469
2023-06-24-08:45,469
2023-06-24-09:00,489
2023-06-24-09:15,489
2023-06-24-09:30,489
2023-06-24-09:45,490
2023-06-24-10:00,523
2023-06-24-10:15,515
2023-06-24-10:30,516
2023-06-24-10:45,519
2023-06-24-11:00,521
2023-06-24-11:15,532
2023-06-24-11:30,531
2023-06-24-11:45,531
2023-06-24-12:00,526
2023-06-24-12:15,529
2023-06-24-12:30,529
2023-06-24-12:45,529
2023-06-24-13:00,540
2023-06-24-13:15,532
2023-06-24-13:30,532
2023-06-24-13:45,532
2023-06-24-14:00,538
2023-06-24-14:15,538
2023-06-24-14:30,538
2023-06-24-14:45,538
2023-06-24-15:00,535
2023-06-24-15:15,535
2023-06-24-15:30,533
2023-06-24-15:45,533
2023-06-24-16:00,515
2023-06-24-16:15,500
2023-06-24-16:30,499
2023-06-24-16:45,499
2023-06-24-17:00,489
2023-06-24-17:15,489
2023-06-24-17:30,489
2023-06-24-17:45,489
2023-06-24-18:00,484
2023-06-24-18:15,486
2023-06-24-18:30,486
2023-06-24-18:45,486
2023-06-24-19:00,490
2023-06-24-19:15,494
2023-06-24-19:30,494
2023-06-24-19:45,493
2023-06-24-20:00,493
2023-06-24-20:15,493
2023-06-24-20:30,487
2023-06-24-20:45,487
2023-06-24-21:00,483
2023-06-24-21:15,483
2023-06-24-21:30,483
2023-06-24-21:45,483
2023-06-24-22:00,470
2023-06-24-22:15,468
2023-06-24-22:30,468
2023-06-24-22:45,468
2023-06-24-23:00,439
2023-06-24-23:15,439
2023-06-24-23:30,439
2023-06-24-23:45,444
2023-06-25-00:00,438
2023-06-25-00:15,432
2023-06-25-00:30,434
2023-06-25-00:45,420
2023-06-25-01:00,418
2023-06-25-01:15,418
2023-06-25-01:30,417
2023-06-25-01:45,417
2023-06-25-02:00,406
2023-06-25-02:15,406
2023-06-25-02:30,406
2023-06-25-02:45,406
2023-06-25-03:00,411
2023-06-25-03:15,411
2023-06-25-03:30,411
2023-06-25-03:45,411
2023-06-25-04:00,408
2023-06-25-04:15,408
2023-06-25-04:30,408
2023-06-25-04:45,408
2023-06-25-05:00,408
2023-06-25-05:15,408
2023-06-25-05:30,408
2023-06-25-05:45,410
2023-06-25-06:00,414
2023-06-25-06:15,414
2023-06-25-06:30,416
2023-06-25-06:45,419
2023-06-25-07:00,408
2023-06-25-07:15,409
2023-06-25-07:30,408
2023-06-25-07:45,427
2023-06-25-08:00,451
2023-06-25-08:15,459
2023-06-25-08:30,460
2023-06-25-08:45,460
2023-06-25-09:00,472
2023-06-25-09:15,472
2023-06-25-09:30,472
2023-06-25-09:45,473
2023-06-25-10:00,495
2023-06-25-10:15,488
2023-06-25-10:30,493
2023-06-25-10:45,495
2023-06-25-11:00,506
2023-06-25-11:15,514
2023-06-25-11:30,521
2023-06-25-11:45,521
2023-06-25-12:00,518
2023-06-25-12:15,522
2023-06-25-12:30,522
2023-06-25-12:45,522
2023-06-25-13:00,527
2023-06-25-13:15,527
2023-06-25-13:30,527
2023-06-25-13:45,527
2023-06-25-14:00,527
2023-06-25-14:15,527
2023-06-25-14:30,527
2023-06-25-14:45,527
2023-06-25-15:00,527
2023-06-25-15:15,523
2023-06-25-15:30,520
2023-06-25-15:45,520
2023-06-25-16:00,498
2023-06-25-16:15,495
2023-06-25-16:30,495
2023-06-25-16:45,492
2023-06-25-17:00,486
2023-06-25-17:15,484
2023-06-25-17:30,484
2023-06-25-17:45,484
2023-06-25-18:00,479
2023-06-25-18:15,461
2023-06-25-18:30,461
2023-06-25-18:45,461
2023-06-25-19:00,481
2023-06-25-19:15,483
2023-06-25-19:30,481
2023-06-25-19:45,480
2023-06-25-20:00,480
2023-06-25-20:15,480
2023-06-25-20:30,480
2023-06-25-20:45,480
2023-06-25-21:00,476
2023-06-25-21:15,476
2023-06-25-21:30,476
2023-06-25-21:45,476
2023-06-25-22:00,463
2023-06-25-22:15,459
2023-06-25-22:30,459
2023-06-25-22:45,459
2023-06-25-23:00,435
2023-06-25-23:15,435
2023-06-25-23:30,435
2023-06-25-23:45,435
2023-06-26-00:00,394
2023-06-26-00:15,394
2023-06-26-00:30,394
2023-06-26-00:45,404
2023-06-26-01:00,400
2023-06-26-01:15,400
2023-06-26-01:30,396
2023-06-26-01:45,378
2023-06-26-02:00,378
2023-06-26-02:15,375
2023-06-26-02:30,375
2023-06-26-02:45,393
2023-06-26-03:00,398
2023-06-26-03:15,398
2023-06-26-03:30,379
2023-06-26-03:45,379
2023-06-26-04:00,373
2023-06-26-04:15,373
2023-06-26-04:30,373
2023-06-26-04:45,380
2023-06-26-05:00,380
2023-06-26-05:15,380
2023-06-26-05:30,379
2023-06-26-05:45,379
2023-06-26-06:00,378
2023-06-26-06:15,378
2023-06-26-06:30,373
2023-06-26-06:45,373
2023-06-26-07:00,376
2023-06-26-07:15,376
2023-06-26-07:30,377
2023-06-26-07:45,377
2023-06-26-08:00,397
2023-06-26-08:15,406
2023-06-26-08:30,413
2023-06-26-08:45,413
2023-06-26-09:00,436
2023-06-26-09:15,436
2023-06-26-09:30,436
2023-06-26-09:45,439
2023-06-26-10:00,442
2023-06-26-10:15,428
2023-06-26-10:30,431
2023-06-26-10:45,442
2023-06-26-11:00,443
2023-06-26-11:15,443
2023-06-26-11:30,442
2023-06-26-11:45,442
2023-06-26-12:00,434
2023-06-26-12:15,434
2023-06-26-12:30,434
2023-06-26-12:45,434
2023-06-26-13:00,433
2023-06-26-13:15,433
2023-06-26-13:30,433
2023-06-26-13:45,433
2023-06-26-14:00,446
2023-06-26-14:15,446
2023-06-26-14:30,446
2023-06-26-14:45,446
2023-06-26-15:00,448
2023-06-26-15:15,460
2023-06-26-15:30,460
2023-06-26-15:45,460
2023-06-26-16:00,429
2023-06-26-16:15,425
