,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-00:00,445,343,423,410,405.25,416.5,434.0,445.0
2023-06-24-00:15,442,341,423,410,404.0,416.5,432.5,442.0
2023-06-24-00:30,443,341,422,410,404.0,416.0,432.5,443.0
2023-06-24-00:45,427,341,405,410,395.75,407.5,418.5,427.0
2023-06-24-01:00,422,334,404,410,392.5,407.0,416.0,422.0
2023-06-24-01:15,422,334,403,410,392.25,406.5,416.0,422.0
2023-06-24-01:30,422,334,403,409,392.0,406.0,415.5,422.0
2023-06-24-01:45,422,333,403,409,391.75,406.0,415.5,422.0
2023-06-24-02:00,390,336,403,409,384.5,396.5,406.0,409.0
2023-06-24-02:15,390,336,403,409,384.5,396.5,406.0,409.0
2023-06-24-02:30,388,336,403,409,384.0,395.5,406.0,409.0
2023-06-24-02:45,388,336,403,409,384.0,395.5,406.0,409.0
2023-06-24-03:00,408,330,402,431,392.75,405.0,419.5,431.0
2023-06-24-03:15,408,330,402,431,392.75,405.0,419.5,431.0
2023-06-24-03:30,408,330,402,431,392.75,405.0,419.5,431.0
2023-06-24-03:45,408,330,402,431,392.75,405.0,419.5,431.0
2023-06-24-04:00,404,332,401,409,386.5,402.5,406.5,409.0
2023-06-24-04:15,404,332,401,369,376.5,385.0,402.5,404.0
2023-06-24-04:30,404,332,401,369,376.5,385.0,402.5,404.0
2023-06-24-04:45,404,332,401,369,376.5,385.0,402.5,404.0
2023-06-24-05:00,404,335,404,369,378.0,386.5,404.0,404.0
2023-06-24-05:15,404,335,404,369,378.0,386.5,404.0,404.0
2023-06-24-05:30,404,335,404,369,378.0,386.5,404.0,404.0
2023-06-24-05:45,408,335,404,369,379.0,386.5,406.0,408.0
2023-06-24-06:00,415,350,405,409,394.75,407.0,412.0,415.0
2023-06-24-06:15,419,350,405,409,395.75,407.0,414.0,419.0
2023-06-24-06:30,419,350,404,416,397.25,410.0,417.5,419.0
2023-06-24-06:45,426,356,391,413,396.5,402.0,419.5,426.0
2023-06-24-07:00,402,364,394,413,393.25,398.0,407.5,413.0
2023-06-24-07:15,404,364,403,413,396.0,403.5,408.5,413.0
2023-06-24-07:30,428,364,404,413,402.25,408.5,420.5,428.0
2023-06-24-07:45,428,367,442,413,412.5,420.5,435.0,442.0
2023-06-24-08:00,434,375,460,461,432.5,447.0,460.5,461.0
2023-06-24-08:15,439,375,466,471,437.75,452.5,468.5,471.0
2023-06-24-08:30,444,375,468,471,439.5,456.0,469.5,471.0
2023-06-24-08:45,444,375,468,471,439.5,456.0,469.5,471.0
2023-06-24-09:00,459,461,469,509,474.5,465.0,489.0,509.0
2023-06-24-09:15,459,461,469,509,474.5,465.0,489.0,509.0
2023-06-24-09:30,463,461,469,509,475.5,466.0,489.0,509.0
2023-06-24-09:45,471,461,469,509,477.5,470.0,490.0,509.0
2023-06-24-10:00,481,504,526,520,507.75,512.0,523.0,526.0
2023-06-24-10:15,498,504,526,493,505.25,501.0,515.0,526.0
2023-06-24-10:30,498,504,529,493,506.0,501.0,516.5,529.0
2023-06-24-10:45,509,490,529,493,505.25,501.0,519.0,529.0
2023-06-24-11:00,509,504,534,493,510.0,506.5,521.5,534.0
2023-06-24-11:15,511,531,534,485,515.25,521.0,532.5,534.0
2023-06-24-11:30,501,531,532,485,512.25,516.0,531.5,532.0
2023-06-24-11:45,501,531,532,485,512.25,516.0,531.5,532.0
2023-06-24-12:00,498,526,527,512,515.75,519.0,526.5,527.0
2023-06-24-12:15,531,526,527,512,524.0,526.5,529.0,531.0
2023-06-24-12:30,531,526,527,512,524.0,526.5,529.0,531.0
2023-06-24-12:45,531,526,527,512,524.0,526.5,529.0,531.0
2023-06-24-13:00,530,548,532,512,530.5,531.0,540.0,548.0
2023-06-24-13:15,530,533,532,512,526.75,531.0,532.5,533.0
2023-06-24-13:30,530,533,532,512,526.75,531.0,532.5,533.0
2023-06-24-13:45,530,533,532,512,526.75,531.0,532.5,533.0
2023-06-24-14:00,530,539,532,538,534.75,535.0,538.5,539.0
2023-06-24-14:15,511,539,532,538,530.0,535.0,538.5,539.0
2023-06-24-14:30,511,539,532,538,530.0,535.0,538.5,539.0
2023-06-24-14:45,511,539,532,538,530.0,535.0,538.5,539.0
2023-06-24-15:00,530,529,532,538,532.25,531.0,535.0,538.0
2023-06-24-15:15,528,529,532,538,531.75,530.5,535.0,538.0
2023-06-24-15:30,528,529,527,538,530.5,528.5,533.5,538.0
2023-06-24-15:45,528,529,527,538,530.5,528.5,533.5,538.0
2023-06-24-16:00,494,516,514,505,507.25,509.5,515.0,516.0
2023-06-24-16:15,494,503,497,498,498.0,497.5,500.5,503.0
2023-06-24-16:30,494,500,497,498,497.25,497.5,499.0,500.0
2023-06-24-16:45,494,500,497,498,497.25,497.5,499.0,500.0
2023-06-24-17:00,505,466,449,473,473.25,469.5,489.0,505.0
2023-06-24-17:15,505,466,449,473,473.25,469.5,489.0,505.0
2023-06-24-17:30,505,467,447,473,473.0,470.0,489.0,505.0
2023-06-24-17:45,505,467,447,473,473.0,470.0,489.0,505.0
2023-06-24-18:00,505,464,452,449,467.5,458.0,484.5,505.0
2023-06-24-18:15,508,464,452,449,468.25,458.0,486.0,508.0
2023-06-24-18:30,508,464,452,449,468.25,458.0,486.0,508.0
2023-06-24-18:45,508,464,454,449,468.75,459.0,486.0,508.0
2023-06-24-19:00,508,469,455,473,476.25,471.0,490.5,508.0
2023-06-24-19:15,508,469,455,481,478.25,475.0,494.5,508.0
2023-06-24-19:30,508,469,455,481,478.25,475.0,494.5,508.0
2023-06-24-19:45,506,435,455,481,469.25,468.0,493.5,506.0
2023-06-24-20:00,506,428,444,481,464.75,462.5,493.5,506.0
2023-06-24-20:15,506,428,444,481,464.75,462.5,493.5,506.0
2023-06-24-20:30,506,420,444,469,459.75,456.5,487.5,506.0
2023-06-24-20:45,506,420,444,469,459.75,456.5,487.5,506.0
2023-06-24-21:00,497,410,441,469,454.25,455.0,483.0,497.0
2023-06-24-21:15,497,410,441,469,454.25,455.0,483.0,497.0
2023-06-24-21:30,497,410,441,469,454.25,455.0,483.0,497.0
2023-06-24-21:45,497,410,441,469,454.25,455.0,483.0,497.0
2023-06-24-22:00,492,401,435,449,444.25,442.0,470.5,492.0
2023-06-24-22:15,487,401,435,449,443.0,442.0,468.0,487.0
2023-06-24-22:30,487,398,435,449,442.25,442.0,468.0,487.0
2023-06-24-22:45,487,398,435,449,442.25,442.0,468.0,487.0
2023-06-24-23:00,436,347,433,443,414.75,434.5,439.5,443.0
2023-06-24-23:15,436,347,433,443,414.75,434.5,439.5,443.0
2023-06-24-23:30,436,341,433,443,413.25,434.5,439.5,443.0
2023-06-24-23:45,436,341,446,443,416.5,439.5,444.5,446.0
2023-06-25-00:00,445,342,431,418,409.0,424.5,438.0,445.0
2023-06-25-00:15,442,340,423,411,404.0,417.0,432.5,442.0
2023-06-25-00:30,447,340,422,410,404.75,416.0,434.5,447.0
2023-06-25-00:45,431,340,405,410,396.5,407.5,420.5,431.0
2023-06-25-01:00,426,333,404,410,393.25,407.0,418.0,426.0
2023-06-25-01:15,426,333,403,410,393.0,406.5,418.0,426.0
2023-06-25-01:30,426,333,403,409,392.75,406.0,417.5,426.0
2023-06-25-01:45,426,333,403,409,392.75,406.0,417.5,426.0
2023-06-25-02:00,393,336,403,409,385.25,398.0,406.0,409.0
2023-06-25-02:15,393,336,403,409,385.25,398.0,406.0,409.0
2023-06-25-02:30,391,336,403,409,384.75,397.0,406.0,409.0
2023-06-25-02:45,391,336,403,409,384.75,397.0,406.0,409.0
2023-06-25-03:00,412,330,402,410,388.5,406.0,411.0,412.0
2023-06-25-03:15,412,330,402,410,388.5,406.0,411.0,412.0
2023-06-25-03:30,412,330,402,410,388.5,406.0,411.0,412.0
2023-06-25-03:45,412,330,402,410,388.5,406.0,411.0,412.0
2023-06-25-04:00,408,332,401,409,387.5,404.5,408.5,409.0
2023-06-25-04:15,408,332,401,409,387.5,404.5,408.5,409.0
2023-06-25-04:30,408,332,401,409,387.5,404.5,408.5,409.0
2023-06-25-04:45,408,332,401,409,387.5,404.5,408.5,409.0
2023-06-25-05:00,408,335,404,409,389.0,406.0,408.5,409.0
2023-06-25-05:15,408,335,404,409,389.0,406.0,408.5,409.0
2023-06-25-05:30,408,335,404,409,389.0,406.0,408.5,409.0
2023-06-25-05:45,412,335,404,409,390.0,406.5,410.5,412.0
2023-06-25-06:00,419,350,405,409,395.75,407.0,414.0,419.0
2023-06-25-06:15,419,350,405,409,395.75,407.0,414.0,419.0
2023-06-25-06:30,419,350,391,413,393.25,402.0,416.0,419.0
2023-06-25-06:45,426,355,391,413,396.25,402.0,419.5,426.0
2023-06-25-07:00,403,363,394,413,393.25,398.5,408.0,413.0
2023-06-25-07:15,405,363,403,413,396.0,404.0,409.0,413.0
2023-06-25-07:30,383,363,404,413,390.75,393.5,408.5,413.0
2023-06-25-07:45,383,366,442,413,401.0,398.0,427.5,442.0
2023-06-25-08:00,389,357,460,442,412.0,415.5,451.0,460.0
2023-06-25-08:15,394,357,466,452,417.25,423.0,459.0,466.0
2023-06-25-08:30,399,357,468,452,419.0,425.5,460.0,468.0
2023-06-25-08:45,399,357,468,452,419.0,425.5,460.0,468.0
2023-06-25-09:00,459,433,469,476,459.25,464.0,472.5,476.0
2023-06-25-09:15,459,433,469,476,459.25,464.0,472.5,476.0
2023-06-25-09:30,463,433,469,476,460.25,466.0,472.5,476.0
2023-06-25-09:45,471,419,469,476,458.75,470.0,473.5,476.0
2023-06-25-10:00,474,461,512,479,481.5,476.5,495.5,512.0
2023-06-25-10:15,464,461,512,453,472.5,462.5,488.0,512.0
2023-06-25-10:30,471,461,516,453,475.25,466.0,493.5,516.0
2023-06-25-10:45,475,461,516,453,476.25,468.0,495.5,516.0
2023-06-25-11:00,492,461,521,453,481.75,476.5,506.5,521.0
2023-06-25-11:15,508,487,521,453,492.25,497.5,514.5,521.0
2023-06-25-11:30,524,487,518,453,495.5,502.5,521.0,524.0
2023-06-25-11:45,524,487,518,453,495.5,502.5,521.0,524.0
2023-06-25-12:00,524,482,513,479,499.5,497.5,518.5,524.0
2023-06-25-12:15,531,482,513,479,501.25,497.5,522.0,531.0
2023-06-25-12:30,531,482,513,479,501.25,497.5,522.0,531.0
2023-06-25-12:45,531,482,513,479,501.25,497.5,522.0,531.0
2023-06-25-13:00,536,505,518,479,509.5,511.5,527.0,536.0
2023-06-25-13:15,536,505,518,479,509.5,511.5,527.0,536.0
2023-06-25-13:30,536,505,518,479,509.5,511.5,527.0,536.0
2023-06-25-13:45,536,505,518,479,509.5,511.5,527.0,536.0
2023-06-25-14:00,536,510,518,506,517.5,514.0,527.0,536.0
2023-06-25-14:15,536,510,518,506,517.5,514.0,527.0,536.0
2023-06-25-14:30,536,510,518,506,517.5,514.0,527.0,536.0
2023-06-25-14:45,536,510,518,506,517.5,514.0,527.0,536.0
2023-06-25-15:00,536,501,518,506,515.25,512.0,527.0,536.0
2023-06-25-15:15,528,504,518,506,514.0,512.0,523.0,528.0
2023-06-25-15:30,528,504,513,506,512.75,509.5,520.5,528.0
2023-06-25-15:45,528,504,513,506,512.75,509.5,520.5,528.0
2023-06-25-16:00,494,490,500,496,495.0,495.0,498.0,500.0
2023-06-25-16:15,494,494,483,496,491.75,494.0,495.0,496.0
2023-06-25-16:30,494,491,483,496,491.0,492.5,495.0,496.0
2023-06-25-16:45,494,491,483,473,485.25,487.0,492.5,494.0
2023-06-25-17:00,512,457,449,461,469.75,459.0,486.5,512.0
2023-06-25-17:15,512,457,449,454,468.0,455.5,484.5,512.0
2023-06-25-17:30,512,457,447,454,467.5,455.5,484.5,512.0
2023-06-25-17:45,512,457,447,454,467.5,455.5,484.5,512.0
2023-06-25-18:00,505,454,452,438,462.25,453.0,479.5,505.0
2023-06-25-18:15,469,454,452,438,453.25,453.0,461.5,469.0
2023-06-25-18:30,469,454,452,431,451.5,453.0,461.5,469.0
2023-06-25-18:45,469,454,454,431,452.0,454.0,461.5,469.0
2023-06-25-19:00,508,449,455,447,464.75,452.0,481.5,508.0
2023-06-25-19:15,508,459,455,455,469.25,457.0,483.5,508.0
2023-06-25-19:30,508,453,455,455,467.75,455.0,481.5,508.0
2023-06-25-19:45,506,419,455,455,458.75,455.0,480.5,506.0
2023-06-25-20:00,506,413,444,455,454.5,449.5,480.5,506.0
2023-06-25-20:15,506,413,444,455,454.5,449.5,480.5,506.0
2023-06-25-20:30,506,413,444,455,454.5,449.5,480.5,506.0
2023-06-25-20:45,506,413,444,455,454.5,449.5,480.5,506.0
2023-06-25-21:00,497,402,441,455,448.75,448.0,476.0,497.0
2023-06-25-21:15,497,402,441,455,448.75,448.0,476.0,497.0
2023-06-25-21:30,497,408,441,455,450.25,448.0,476.0,497.0
2023-06-25-21:45,497,408,441,455,450.25,448.0,476.0,497.0
2023-06-25-22:00,492,394,435,435,439.0,435.0,463.5,492.0
2023-06-25-22:15,484,394,435,435,437.0,435.0,459.5,484.0
2023-06-25-22:30,484,391,435,435,436.25,435.0,459.5,484.0
2023-06-25-22:45,484,391,435,435,436.25,435.0,459.5,484.0
2023-06-25-23:00,436,333,433,435,409.25,434.0,435.5,436.0
2023-06-25-23:15,436,333,433,435,409.25,434.0,435.5,436.0
2023-06-25-23:30,436,333,433,435,409.25,434.0,435.5,436.0
2023-06-25-23:45,436,333,433,435,409.25,434.0,435.5,436.0
2023-06-26-00:00,320,315,383,406,356.0,351.5,394.5,406.0
2023-06-26-00:15,318,313,383,406,355.0,350.5,394.5,406.0
2023-06-26-00:30,318,313,382,406,354.75,350.0,394.0,406.0
2023-06-26-00:45,318,313,402,406,359.75,360.0,404.0,406.0
2023-06-26-01:00,315,309,395,406,356.25,355.0,400.5,406.0
2023-06-26-01:15,314,309,394,406,355.75,354.0,400.0,406.0
2023-06-26-01:30,314,309,394,399,354.0,354.0,396.5,399.0
2023-06-26-01:45,314,282,357,399,338.0,335.5,378.0,399.0
2023-06-26-02:00,316,272,357,399,336.0,336.5,378.0,399.0
2023-06-26-02:15,316,272,357,393,334.5,336.5,375.0,393.0
2023-06-26-02:30,316,272,357,393,334.5,336.5,375.0,393.0
2023-06-26-02:45,316,272,394,393,343.75,354.5,393.5,394.0
2023-06-26-03:00,334,267,394,402,349.25,364.0,398.0,402.0
2023-06-26-03:15,334,267,394,402,349.25,364.0,398.0,402.0
2023-06-26-03:30,334,267,357,402,340.0,345.5,379.5,402.0
2023-06-26-03:45,334,267,357,402,340.0,345.5,379.5,402.0
2023-06-26-04:00,333,269,356,391,337.25,344.5,373.5,391.0
2023-06-26-04:15,333,269,356,391,337.25,344.5,373.5,391.0
2023-06-26-04:30,333,269,356,391,337.25,344.5,373.5,391.0
2023-06-26-04:45,333,269,369,391,340.5,351.0,380.0,391.0
2023-06-26-05:00,329,208,369,391,324.25,349.0,380.0,391.0
2023-06-26-05:15,329,208,369,391,324.25,349.0,380.0,391.0
2023-06-26-05:30,329,208,367,391,323.75,348.0,379.0,391.0
2023-06-26-05:45,332,208,367,391,324.5,349.5,379.0,391.0
2023-06-26-06:00,339,218,366,391,328.5,352.5,378.5,391.0
2023-06-26-06:15,339,218,366,391,328.5,352.5,378.5,391.0
2023-06-26-06:30,340,218,353,394,326.25,346.5,373.5,394.0
